IDComentario,comentario
74667,"Preço Alto."
74676,"Já foi melhor"
74691,"Pedir para a carne de sol ser lavada e veio salgada.
O preço é alto. Por cabeça em média é 40 reais"
74707,"A comida derramada na caixa, carne fria e a macacheira igual uma borracha.
Não valeu o preço que cobrou"
74721,"A COMIDA É UMA DELICIA, POREM O ATENDIMENTO É PÉSSIMO.
ONTEM ESTIVE NO LOCAL EM UM HORÁRIO QUE NÃO ESTAVA LOTADO, PASSOU 3 GARÇONS DIFERENTE PARA ANOTA MINHA BEBIDA. POREM NENHUM TROUXE, DETALHE ERA 2 REFRIGERANTES EM LATA QUE É TAO FÁCIL PEGAR E COLOCAR NA BADEJA  NÃO TINHA NEM TRABALHO DE ESPERAR FAZER COMO O SUCO.  TERMINEI MEU ALMOÇO E NÃO CHEGOU SE QUER  UM COPO DE ÁGUA.  PROCUREI GERENTE, NÃO ESTAVA PRESENTE. CONCLUSÃO NÃO VOLTO MAIS A ESSE LUGAR.  E NÃO RECOMENDO A NINGUÉM!!!!!!"
74732,"Muito bom. Parabéns!"
74753,"Gerentes muito atenciosos. Demorou muito a chegada do meu pedido até a mesa. Mas UM ABSURDO MESMO É COBRAR  4,00 REAIS POR UMA ÁGUA.  4,00 REAIS!!! DUVIDO QUE UMA ÁGUA SEJA MAIS QUE 0.60 CENTAVOS PRA ELES COMPRAREM. E PRA REVENDA 4,00!!! ISSO É ABSURDO. ABUSIVO. FORA DE QUALQUER NOÇÃO DE VALORES. UM ABSURDO! DEVERIA TER VERGONHA DE COBRAR UM VALOR DESSE. PAGO 4 REAIS A MAIS NO VALOR DA COMIDA.  MAS 4 REAIS POR UMA ÁGUA PEQUENA! VAMOS TER RESPEITO COM O CLIENTE. NÃO SOMOS IDIOTAS. SABEMOS O VALOR REAL DAS COISAS.E SABEMOS QUANDO SOMOS ABUSADOS."
74755,"Já serviu a melhor carne de sol de Manaus, hj não recomendo a ninguém, servem uma porção de carne para duas pessoas, mas que na verdade a carne é tão pouca que equivale a uma porção bem regreda para apenas uma pessoa, o bolinho de macaxeira não existe mais, agora é macaxeira quase crua de tão dura, infelizmente ficou apenas a lembrança de bons momentos do passado, o que ainda salva é apenas o atendimento que continua ótimo!"
74758,"Já foi bom, hj realmente deixa muito a desejar. Demora no atendimento, garçons mal humorados e se a menor boa vontade, sem contar com a comida gelada e a carne crua mesmo pedindo que venha ao ponto. Essa foi a última vez, depois de muitas tentativas. Não melhora nunca. Deu."
74768,"Foi péssima, mal atendido, Garçon não responde as perguntas, a maionese estava tanto tempo exposta que estava seca por cima, a salada com os tomates já murchos e a banana veio toda amassada e preta....não recomendo"
74773,"NEM TELEFONE ATENDEM NO DELIVERY!!!
FALA SÉRIO, PÉSSIMO =) ATENDIMENTO BARÉ!"
74775,"Esse número não funciona, passamos mais de 30 minutos tentando."
74776,"Fiz um pedido a 2  horas e até agora nada!!!"
74779,"Delivery péssimo: não cumprem prazo, a carne chega dura, além de um atendimento que não dão a mínima importância quando se liga para reclamar de entrega."
74789,"Atendimento de péssima qualidade..."
74795,"O atendimento foi bom. O proprietário aparentemente é gente boa, porém, a comida é pouca para o valor exigido. Paguei mais de 100 reais em uma picanha para duas pessoas e veio apenas 3 pedaços de picanha e dois acompanhamentos que mal davam para uma pessoa. Enfim, eu não recomendo o local e também não retornaria."
74803,"Atendimento péssimo atendentes finge que nem ver o cliente"
74815,"Ao chegar no local fui atendido por um rapaz que recebeu meus pedidos, após uma longa espera questionei sobre a demora na entrega da cerveja que pedi, para meu espanto o rapaz não anotou, não repassou, não fez nada.
Despreparo total.
Não recomendo e não voltarei."
74819,"A comida é boa, mas o atendimento é bem ruim e ainda fazem de tudo pra fazer com que o cliente esteja errado. Esperei 1:10h pelo meu pedido (picanha pra 3p) e depois de ver 2 mesas de pessoas que chegaram depois de mim, receberem seus pedido, reclamei com o garçom, que disse q ainda tinham 4 pedidos na minha frente. Quase enlouqueci. Mas na verdade, eles entregaram meu pedido na outra mesa e eles não queriam admitir. Só não fui embora pq estávamos em grupo e todos com fome. E ainda demorou mais 15min depois disso. Pedi desconto no jantar e não deram nem desculpas pelo ocorrido. NÃO recomendo o local por isso."
74829,"O lugar já foi bom, hoje não mais!"
74832,"Comida vem rápido e com uma boa aparência, mas o sabor deixa muito a desejar para o preço alto que é cobrado. Eu não volto e nem indico."
74833,"Atendimento muito demorado, uma única jarra de suco demorando 45min e refeição com 1 hora e meia de espera. A comida é boa mas poderia melhorar no sabor!"
74854,"O atendimento é razoável. O prato que pedimos estava bem apresentável, mas infelizmente não condiz com o sabor. Da vontade de chorar pagar 100,00 no prato com sabor péssimo, a carne mal temperada e a maionese sempre azeda. PÉSSIMO LOCAL PRA JANTAR."
74860,"Demorou, veio o pedido errado e motoboy esqueceu a maquineta de cartão e ainda tive que me virar pra sacar o dinheiro se não ia ficar sem jantar"
74862,"Carne dura, provavelmente só esquentada pelo fato de ter chegado em menos de 10 minutos. Eu pedi pra 4 pessoas, mas as carnes foram tão miudinhas que quase não deu, pois no outros lugares que já fui pedia para três e dava para 4 pessoas direitinho. Poderiam melhorar mais no sabor do arroz e maionese. Atendimento bom."
74888,"A comida é até boa,mas o atendimento é péssimo,o valor a cobrar vem certinho,mas o produto não chega,vc questiona,eles desdenham de vc,brincam com sua cara e em seguida lhe bloqueiam. Não indico para ninguém."
74889,"Não conheço pessoalmente o lugar e nem pretendo, pois o delivery já é péssimo, a começar pelo atendimento super grosseiro. Do meu último pedido esqueceram de enviar o refrigerante que foi pago e não estornaram, mandaram SMS pra minha esposa pedindo os dados para depósito (o que não aconteceu). Ao serem questionados, o atendente de forma bem debochada perguntou se já tínhamos recebido o valor pois o motoboy estaria indo entregar, e ainda bloquearam no Zap. Um absurdo o que esse lugar faz com os clientes."
74914,"Uma grande decepção, estou nesse momento com duas amigas chateadas comigo. Marcamos para jantar e iríamos no lugar que costumamos ir, comando do espeto, uma delícia por sinal. Pois bem, de tanto ver a propaganda de vocês no se liga Manaus eu insisti muito para trazer as amigas aqui, chegamos e vimos que é bem mais caro que lá mas até aí tudo bem pq quando uma coisa é de qualidade realmente temos que valorizar o valor, mas pedimos a picanha para três ao ponto para mal e ela veio bem passada literalmente, carne super dura e veio pouca carne. Perguntei para o garçom se realmente era para três pois veio pouca carne e ele disse que quando vem muito é pq o chefe erra e eles explicam. Desculpa o desabafo mas trabalho com atendimento e amo conhecer lugares novos pelo atendimento e para realmente ter lugares legais para ir com os amigos e vocês infelizmente não serão um indicação minha."
74923,"PÉSSIMO! ESTAVAM SE RECUSANDO A NOS SERVIR PORQUE SENTAMOS EM UMA MESA MAIS DISTANTE, NA PRACA DE ALIMENTAÇÃO. ATENDIMENTO PÉSSIMO! FUI PARA CONHECER, POIS JÁ OS SEGUIA HÁ ALGUM TEMPO NO INSTAGRAM E ME DECEPCIONEI COMPLETAMENTE! NÃO INDICO PARA NINGUÉM!"
74927,"Hoje 19/07/20 comi a comida (Carne de Sol), após 2 horas de espera! Não estava ruim, porém, precisa melhorar... Deviam colocar mais bananas e rodelas inteiras de abacaxi. Achei de última 3 metades de rodelas da fruta! As batatas fritas estavam murchas e frias bem como
a

macaxeira"
74930,"O atendimento delivery é de péssima qualidade, eles demoram responder, são ignorantes, e sem conta que leva um século pra entregar o seu pedido! Não peçam  se não vcs vão se arrepender!"
74935,"Muita demora a servir, esperei cerca de 1:20 min, por um filé p duas pessoas."
74938,"Os pratos demoram muito para ficarem prontos, pedi uma carne de sol na chapa para 2 pessoas e o garçom disse que ficaria pronto em torno de 45 minutos. Agradeci pela sinceridade dele, mas não dava pra esperar tanto tempo por um prato tão simples."
74962,"Horrível, espero 01:30 pro meu pedido chegar incompleto ainda, péssimo atendimento além de muito quente em determinado lugares"
74965,"Pedi no ifood camarão empanado e mandaram camarão alho e óleo muito sem graça e poucas unidades. Fui inventar de experimentar por causa da propaganda no Instagram e me ferrei! Não recomendo."
74975,"Nunca fui nesse lugar"
74991,"Falta variedades"
75089,"Comida fria."
75200,"Caro e péssimo atendimento"
75227,"PEIXE SEM GOSTO, PARECIA QUE ESTAVA SALMORADO, PITIUUUU
HORRIVEL"
75400,"Cinco falhas seguidas."
75520,"Não fui neste lugar"
75598,"Na realidade  já fui  3 vezes e tive  3 decepções
A primeira pedi  uma  matrixan recheada com banana  não  veio  Só mais  na conta  veio  cobrando
Na segunda vez pedi  uma banda  de  tambaqui uma  porção  de feijso  e um  refrigerante  veio  2 porções de feijao e não  veio  o refrigerante
A 3 vez  pedi  uma  banda  de  tambaqui  e uma  porção de feijao a porção  de  feijao  não  veio  acho  que  estou  sem  sorte  o local  é ótimo  a comida  é otima só está  faltando profissional fica a dica"
75638,"Muito bom"
75653,"Muito caro, porém até simpática a comida"
75674,"Muito barulho,  demora no atendimento da mesa e o peixe não estava legal, como dizia meu pai, o pacu estava lombrado."
75701,"Achei pequeno, demora pra passar pizzas"
75725,"Atendimento ruim, demora no rodízio, bebida quente."
75731,"Infelizmente hoje teve falhas, com comida no fim e a reposição demorou"
75754,"Atendimento péssimo, pois a pessoa passa 30 a 30 mim. Muito demorado, muito caro e péssimo atendimento!"
75756,"Péssimo Atendimento ?"
75758,"A pizza do rodízio é muito inferior á do delivery, que é maravilhosa.
As pizzas do rodízio demoram pra chegar. Tem que ficar pedindo toda hora."
75822,"Rodízio regular,não justifica a fama. Os sabores do rodízio são muito básicos e todas as pizzas doces tem queijo, além de não ter morango no cardápio.Nao voltaremos."
75844,"Péssimo! Chegamos logo que abriu e levou mais de 45 minutos para servirem a primeira pizza. O Rodízio de pizza nem existe pra falar a vdd. Demora um monte para passarem com as pizzas..os sabores NÃO são variados.. Só se repetem. Funcionários correndo de um lado pro outro, visivelmente perdidos e atrapalhados. Me deu dó. Não sei oq aconteceu com o restaurante. O atendimento piorou muito e não me parece culpa dos garçons que estavam sobrecarregados. Não volto mais!"
75909,"(Tradução do Google) Dar uma estrela porque a comida é boa, MAS o serviço é ruim, os servidores não seguem nenhuma seqüência de servir. Esperando nos últimos 40 minutos para servir qualquer Quatro queijo ou muserela, mas depois não serviu. Agora corro em direção ao servidor para deixar minha fatia tão embaraçosa ?.

(Original)
Giving one star because food is good BUT service is bad servers don't follow any sequence of serving. Waiting from last 40 minutes to serve any Quatro queijo or muserela but then didn't serve. Now i make a run towards server to get my slice Soo embarrassing ?."
75920,"Pessimo .barrulho de adolecentes sem respeito nenhum com outros clienres"
75931,"Atendimento horrível!! Não recomendo! Fui com minha namorada sábado e o rodízio que você paga 46,90 serviu no máximo 4 sabores diferentes. Sem contar a demora, pra pizza chegar na mesa.

Vários garçons passavam pela mesa sem oferecer a pizza sendo que a gente tinha acabado de chegar.

Outro problema é que passavam oferecendo primeiro as doces...

Atendimento péssimo! Nunca mais vamos voltar neste lugar!"
75940,"Decepcionante,  fui toda feliz sábado e pensa na decepção.
Chegamos cedo e já tinha uma família sendo servida,  ninguém nos recepcionou  , até aí tudo bem,  sentamos e  passou uns 10 minutos meu marido foi lá perguntar p rapaz se precisava pedir para gente ser servido ou tem que chamar...
Daí começaram servir para gente só que pizzas doces,  eu falei p moça que queria comer primeiro as salgadas.... comemos e  mais um tempo de demora p passar novamente e a gente lá olhando um p cara do outro...
Só tinha uma moça servindo,  precisou chegar mais gente p colocar outro p ajudar a moça a servir...
Uma demora e as pizzas Decepcionante  tbm,  não tinha muita variedade , sempre as mesmas,  perguntei se tinha de alho e a moça disse que tinha,  logo chegou e não era alho... sabe uma decepção mesmo,  como demoraram p começar servir a gente, estávamos lá esperando vir alguma pizza do nosso agrado,  quanto deu uns 40 minutos que estávamos lá a moça (imagino que seja do caixa) ficou rodeando nossa mesa,  e  perguntando se tinha chamado ela,  uma sensação de que queríam que fossemos embora,  sabe muito constrangedor...
Me senti até mal,  parecia que estávamos lá há umas 2h...
Muito chato mesmo.
E além de tudo para ser um lugar que serve massas , nem molho pesto tinha...
Não voltaria lá por nada....
Minha nota é decepção....
Sai de lá muito chateada."
76000,Legal
76046,"Rodizio não inclui bebidas...
O valor do rodízio não vale a pena. A pizza doce tem muito queijo, o que faz com que quebre o doce e fique bem ruim. Mas os ingredientes tem tudo pra ser muito boa.

Ponto forte: as sopas são deliciosas! As massas também são muito bem temperadas.
Infelizmente não me convenceu pelo que estava sendo proposto."
76047,"pizza seca e crocante... pra quem gosta tudo bem. mas gosto de pizza com gosto de pizza."
76052,"Aumentou o preço do rodízio e temos que esperar horrores...."
76053,"Não recomendo."
76074,"Pra ser sincero, não gostei!, achei q demorar muito pra servi a pizza, não gostei dos sabores das pizzas, as massas até q tava Boa... O suco achei muito caro pra um copo de 300Ml.

Enfim acredito q eu não volte lá novamente se for pra mim pagar."
76081,"Antes eu era cliente assíduo da Coliseu, mas depois do último pedido que fiz, me decepcionei."
76111,"Não gostei"
76117,"Uma promoção que é divulgado, eles ficam com muita burocracia para atender!!!"
76139,"Atendimento dos garçons foi bom, mas a pizza em si é muito ruim, massa crua, sem sabor, muito mal elaborada. O chef ou seja lá quem estiver a frente não entende nada de pizza. Olha que possui nome, está no Vieiralves e senti que joguei meu dinheiro fora. Não volto e não recomendo."
76153,"Atendimento péssimo"
76185,"(Tradução do Google) Melhor evitar este

(Original)
Best avoid this one"
76212,"Demora muito pra chegar a pizza !"
76215,"Fui ao local com minha noiva, tentei ligar antes para saber se tinha lugar, ninguém atendeu... Chegando lá tinham mesas, sentamos, pedimos pelo rodízio e até ai tudo bem, a garçonete atendeu a gente de maneira muito grosseiramente, como se estivesse sem paciência. nunca tínhamos ido ao local, anotou o que queríamos e voltou a atender os demais.  pedidos de bebidas chegarem bem porém nada do rodízio chegar a mesa, serviam sempre as mesmas mesas e voltavam com as pizzas pra cozinha. Pedimos e reforçamos que não estavam passando pizzas em nossa mesa, não resolveu e assim se seguiu por 10 minutos, pedidos não chegaram mais, pizza não passou nada fora mussarela, calabresa, Depois de desistir de comer pizza. Entao eu a minha noiva formos se servi no Buffet. Sou uma pessoa uma paciente  então. Então  solicitei por algumas  pizzas  de minha preferência  da minha noiva. Pizza doces, a mesma coisa depois de 20 minutos. As pizzas aparecerem  não  deram nem explicação,  por causa da demora.pessoas despreparadas. Não  recomendo. Nota 0."
76287,"Péssimo. A massa crua e a demora para levar as pizzas! Foi preciso pedir a 5 garçons e nenhum levou o meu pedido."
76299,"Nada de mais"
76318,"Ambiente e bom mas muito cara a pizza"
76379,"Eu acostumava frequentar a Coliseu pizzaria com a minha família de 2016 até 2019,porém veio caindo a qualidade do atendimento,a qualidade das pizzas as massas no buffet.principalmente o rodízio Já foi muito melhor.  Hoje a pizza demora, chegar fria, os atendentes despreparados, também fui me servi no buffet a lasanha completamente requentada, fria as comidas do buffet. Muita demora, com a bebida solicitada, solicitei uma fatia de chocolate para minha filha so chegaram com a pizza depois de uns 40 minutos. Sinceramente eu digo para os proprietários da Coliseu pizzaria reavaliar tudo.porque perderam eu a minha família como cliente."
76410,"Péssimo só tem gente escrota principalmente as garçonetes e a gerente e a dona pq o dono é gente boa"
76441,"Demora no atendimento e poucos tipos de pizzas no rodízio de sábado. O regrigente só chegou quando acabamos de comer as pizzas."
76467,"Nunca fui tão mal atendido, primeiro eu chego e a casa está lotada , e só tinha vaga na área sem ar condicionado ao ar livre falei que não tinha interesse e ia embora,  então o rapaz insistiu que eu ficasse pois o tratamento seria o mesmo e que em 10 minutos ia vagar uma mesa, pois bem aceitei, pasmem em 15 minutos a garçonete passou dias vezes e com aquela fatia que ninguém queria tipo resto mesmo, me levantei e me retirei e avisei ao rapaz para nunca mais fizesse  isso com outro  cliente,  pior que era um lugar  muito bom que sempre indicava, mas pela segunda vez fica a desejar, espero que o proprietário leia esse comentário,  pois pode ser que esses problemas sejam sanados  para que não perca outro cliente,  pois o meu dinheiro ele.nao vê mais!!!!"
76504,"Atendimento terrivel e preço muito alto"
76531,"Sempre vou em vários rodízios de Pizza em Manaus com minha esposa.  Posso dizer que já fui nos melhores. Mais o que posso  comentar  sobre essa Pizzaria é que gostei muito do rodizio de sopa. Deu para entender né?"
76532,"Foi mais ou menos o rodízio de pizzas demora muito eles tão um pedaço e levar causes meia hora depois pra vim outros pedaço."
76549,"Fui no rodízio de pizza que inclui caldos e massas... Massas mto boas vale a pena tem variedades e são saborosas, já pizzas não gostei da massa pareciam estar requentadas ou velhas, os recheios das pizzas algumas estavam boas outras pareciam velhas ( particularmente as pizzas do rodizio da Loppiano dão de 1000 a 0 ) sinceramente não curti as pizzas do rodízio e os caldos não experimentei!! Não volto mais lá!!!"
76558,"Tem muito que melhorar !"
76587,"Só foi boa a pizza doce de Abacaxi e a canja  massas não repõe  e alguns duro"
76630,"Achei um absurdo pagar R$6,50 +10% de gorjeta por uma Coca-Cola KS.?"
76710,"O atendimento não foi bom, tive que esperar meu refrigerante muito tempo , e além disso Várias das pizzas frias. Pedi umas preferências e ninguém me levou. Nunca mais eu volto."
76719,"Fui ao rodízio e comi apenas 2 fatias de pizza...pq simplesmente não chegava pizza..."
76725,"ESTOU DECEPCIONADO COM A  COLISEU PIZZARIA.
COSTUMAVA FREQUENTAR COLISEU PIZZARIA .MAIS DAQUE  UNS ANOS PRA CAR VEIO CAR,CAIU MUITO O PADRÃO DO RESTAURANTE. ELES ACOSTUMAVAM  MANTER  O PADRÃO  DE ATENDIMENTO AO CLIENTE ATUALMENTE NÃO  E MAIS. SEUS PONTOS NEGATIVOS  SÃO  ATENDIMENTO, A DEMORAR, DE PEDIDOS  COMO AS BEBIDAS, A DEMORA DAS PIZZAS QUE ALÉM  DE DEMORAR  CHEGAR UM TIPO DE PIZZA REQUENTADA, E  FRIA,  E OUTRA COISA, MAIS UMA OBSERVAÇÃO. CADA SABOR DE PIZZA SOLICITADA  POR MIM. O ATENDENTE QUE ESTAVA PASSANDO COM AS PIZZAS REVIRAVA  O OLHO E FALAVA DEBOCHANDO  COMIGO. ISSO NÃO  E JEITO DE FALAR COM CLIENTE. CARAMBA  EU SEI DOS MEUS DIREITOS  DE CONSUMIDOR. UMA COISA EU DIGO EU RECOMENDAVA PARA TODOS  MEUS AMIGOS A COLISEU. AGORA NÃO  RECOMENDO O RESTAURANTE DE PRIMEIRA QUE ACOSTUMAVA  SER ANTIGAMENTE. AGORA E DE BAIXA QUALIDADE. NOTA 0..."
76731,"Local aconchegante porém atendimento SUPER LENTO. E as pizzas demoravam muito pra sair"
76737,"O rodízio de pizza é caro e fraco, e os refrigerantes e águas  não são incluídas, o atendimento é demorado. Enfim, foi péssimo. Não recomendo! Só as massas são boas, as sopas e caldos, não provei. Diz que tem 46 tipos de sabores de pizzas, mas só passa, calabresa, tonante seco, tucumã com carne seca, as doces, enfim... Nada de pizza tradicionais. Fomos comemorar a despedida de um colega lá, fiquei com vergonha, cheguei até falar com a recepção. Isso foi ontem a noite."
76738,"Perdeu totalmente o padrão. Pizza cara, salgada, massa crua e o proprietário não se importa com a crítica de seu cliente. Nunca mais volto, apesar dos garçons e atendentes serem extremamente gentis, o próprietario é péssimo."
76754,"Fui Domingo Na coliseu Pizzaria  ambiente bom bonito mais serviço nota Zero dele a absurda tipo 20min esperando uma pizza mesmo sabores o tempo todo e um garçom nos informou que estava sem material por isso estavao faltando alguns sabores! Não vou mais."
76783,"Conforme relatado por diversas pessoas: a variedade caiu absurdamente. Poucas opções de pizzas salgadas, atendimento descuidado, buffet de massas estava frio e mesmo solicitando que passassem mais pizza pela mesa... não fomos atendidos. Sempre que eu vou à Manaus eu costumava vir aqui, mas vou ter que achar outra pizzaria rodízio, pois a cada passagem o nível veio caindo bastante. Recomendo a todos procurarem outra pizzaria até os donos tomem providências."
76820,"Ja foi muito gostosa, porém, agora as opcoes sao reduzidas e o atendimento péssimo"
76845,"As pizzas não estavam boas."
76859,"Desorganização no atendimento"
76991,"Meus Deus um absurdo de caro , sem necessidade. as pizzas salgadas não tem muitos sabores disponíveis, as doces são até que são boas. Além das bebidas não ser incluídas. Um absurdo! Na oca e melhor"
77006,"Parece que no rodízio só tem pizza de calabresa e mussarela Fora que é uma lenda para receber atendimento sem precisar ficar gritando para pedir do garçom uma fatia de pizza. Fui com minha namorada  sábado  passado  tivemos uma péssima  experiência."
77029,"Boa .agradável"
77045,"Lugar confortável, pizza até gostosa, porém poucas variedades de sabores passaram na nossa mesa . Pizza doce veio queimada e o comentário que recebi foi que passou um pouco do ponto.Sem contar que dificilmente passavam em nossa mesa, precisávamos estar toda hora chamando. Não voltarei!"
77149,"Serviço de rodízio muito devagar. Também não é muito variado. Passadores  de pizzas parecem  que estão  sendo obrigado  a trabalhar lentos pedi uma pizza de preferência o cara tava passando com a pizza respondeu com maior ignorância que nao seria possível  so no a larcarte  pedi uma pizza  de chocolate sem queijo.  Não  atendeu meu pedindo"
77170,"Atendimento deixou a desejar. O garçom que nos atendeu no início nos esqueceu. E Tem problemas para servir pizza em rodízio quando a mesa é grande, não estão preparados para muita gente ao mesmo tempo, apesar de possuírem um salão razoavelmente grande."
77194,"O Atendimento deixou a desejar e Já foi o melhor rodízio de pizza da cidade. Hoje há muita demora para chegar pizza nas mesas, se você solicitar um sabor especifico pode esquecer."
77240,"Já foi muito bom hoje deixa a desejar."
77249,"O atendimento é péssimo, demorado, displicente, não atendem o que solicitamos, servem  três ou quatro tipos de pizza que se rodiziam demasiadamente, enquanto que os demais sabores são negligenciados. Não recomendo. Pagar para comer diversos sabores de pizza, que compõe o rodízio, e degustar apenas meia dúzia, para mim, representou numa experiência que não almejo repetir nessa casa."
77264,"Bom foi com grupos de amigos no coliseu pizzaria na semana passada no domingo,e tiver a pior experiencia na minha vida junto com meus convidados. Aconteceu que estavam mandando pizzas resseca e reaproveitada,então chamei a garçonete e disse: sobre que estava acontecendo ela simplesmente disse com a maior ignorância senhores,as massas de pizza acabaram.alem disso tem o buffet para o senhores ser servir
<br><br>também o rodízio não e só de pizza senhores. e simplesmente ela virou de costas alem disso demora de levar bebida que foi solicitado. Não recomendo a coliseu pizzaria"
77350,"Muita demora"
77457,"Sou do rio de janeiro e fui conhecer as pizzas do coliseu e a melhor forma seria no rodízio onde poderia experimentar vários sabores. Ao chegar, o garçon me perguntou se eu tinha preferência por algum sabor e selecionei alguns que jamais havia experimentado. O interessante foi que , apesar de ter SOMENTE EU na pizzaria, ele trouxe quatro pizzas inteiras com diversos sabores que nada tinham a ver com as que ele ofereceu e aceitei, e duas delas passaram mais tarde pela minha mesa por tres vezes depois. Enfim, após esperar 24 minutos por um pedaço de pizza em um rodízio em que só HAVIA EU na loja, ter trocado duas vezes o refrigerante que estava sem gás, ter bebido o terceiro refrigerante também sem gás por preguiça de troca novamente, às 18:45 ainda estarem com a rampa de massas do rodízio incompleta, eu desisti, levantei-me e tentei explicar para a Gerente os motivos de minha insatisfação que ainda passava pela falta de higiene pois as bordas de pizza que eu retiro foram se acumulando na mesa, restos de queijo que o garçon derrubava ao servir a pizza.... e ninguém retirava.... O triste é que a Gerente limitou-se a justificar as várias pizzas que eu já havia negado e ainda estavam sendo oferecidas (EU ERA O UNICO CLIENTE NA PIZZARIA) e dizer que também teve problemas com restaurantes no Rio de janeiro. Aí, calei a boca, paguei a conta e fui embora pra nunca mais voltar.... Quem quiser ir para pagar R$ 40,00 e ter esta experiência sinta-se à vontade, já comi pizzas muito superiores e bem mais baratas. Foi uma experiência desagradável, não experimentei todos os sabores que gostaria e paguei para prestar uma consultoria para a loja pois apontei todos os problemas para a Gerente.... pena que ela não tenha entendido. Não me senti lesado pois consumi alguma coisa mas me senti enganado e desrespeitado. Não volto e não recomendo. A pizza do habibs do Shopping Manauara é melhor."
77459,"O atendimento é muito ruim, as garçonetes não atendem a solicitação dos clientes quando querem um determinado sabor de pizza. A massa é fria."
77476,"Somos muito fãs das pizzas coliseu. Mas o atendimento em dias de rodízio não é bom. Já é a terceira que viemos e não somos atendidos como deveria. Demora demasiada para chegar as pizzas. Havíamos ficado mais de 4 meses sem vir e resolvemos dar mais uma chance hoje. Mas infelizmente o atendimento continua a desejar!!! Esperamos que melhore."
77485,"Puxa. Fui no a lá carte e nos serviram pizza seca do rodízio provavelmente."
77493,Aconchegante
77541,"PIZZA BOA POREM O PREÇO É UM POUCO SALGADO"
77563,"Poderia incluir bebidas (refrigerante e água) no rodízio..."
77629,"Rodízio horrível, muito demorado, sem variedade e não tem refrigerante de graça."
77652,"Já foi uma das melhores pizzarias, das últimas vezes que fui achei o rodízio fraco, predominância de sabores vegetarianos, atendimento fraco, caro, refrigerante não está incluso... Infelizmente, caiu bastante de qualidade."
77653,"Comida não é muito boa"
77654,"PRIMEIRA E ÚLTIMA VEZ!!!!

Rodízio em um sábado:

- sem estrutura fisica;
- cheio (acima da lotação - precisa ser fiscalizada);
- massas cruas;
- massa da pizza queimada;
- pizza ruim;
- ar condicionado não suporta (devido lotação);
- caro!
- mais uma vez, lotado acima da capacidade.
- mais uma vez, caro!!!!

NÃO VALE A PENA... FALAREI MAL PRA QUEM EU PUDER.... HORROROSO!"
77656,"Pizza de atum de péssima qualidade muito oleosa,  pitiú com muito tomate e ervilha, não recomendo!!!"
77662,"Meu primo ja foi la e adorou a pizza de chocolate"
77669,"Decepcionada! A pizza de atum veio com atum ralado molhado, tomate picado e ervilha de lata! Meu Deuus!! O preço eraco de pizza top. Os garçons são péssimos. A começar q não ouvem o q a gente fala. Triste, pois esperafa mais."
77678,"(Tradução do Google) Comida era muito boa. A única decepção foi que pedimos para 2 pessoas e a conta cobrou um prato (camarão Ipanema) para 4 pessoas (183 Reais ao invés de 128 Reais)!
Ou um descuido do garçom ou eles fizeram extra e nos enganaram, já que não falamos português.
Mas percebemos isso tarde demais.
A música ao vivo custa extra, mas isso não foi um problema para nós.

(Original)
Essen war sehr gut. Entäuschend war nur, dass wir für 2 Personen bestellt haben und auf der Rechnung ein Gericht (Shrimps Ipanema) für 4 Personen berechnet wurde (183Reais anstatt 128Reais)!
Entweder ein Versehen vom Kellner oder sie haben es extra gemacht und uns verarscht, da wir kein portugiesisch sprechen.
Ist uns aber zu spät aufgefallen.
Die Livemusik kostet extra, aber das war kein Problem für uns."
77733,"Deixou a desejar em comparação com outros restaurantes da franquia"
78433,"Eu gosto de sempre jantar aqui, porém deveria ter opção de não participar do couvert artístico porque eu não suporto comer com música e sem falar que não dá para conversar com os amigos e familiares eu fico perturbando com música alta, deveria ter outro ambiente para sem som ou colocar somente som ambiente!

Quando resolverem isso a gente volta com 5 estrelas!

Att,"
79338,"Não merece nenhuma estrela, ontem 15.04.22, fui jantar com meus 2 filhos adolescentes que haviam acabado de comprar um milk shake cada um na praça da alimentação do Ponta Negra Manaus, desde a entrada já fomos abordados sobre ter que assinar um termo de 'respaldo' sobre o consumo de outros produtos lá dentro, eu deveria ter desistido já nesse momento. Já na mesa após eu ter feito o pedido, veio uma atendente e pediu para nos retirar pois não podiamos ficar consumindo outro produto, chamei o gerente que nada fez, apenas chamou a atendente que ao invés de se desculpar, repetiu o mesmo com atrevimento, grosseria, impositividade e arrogância, ou seja, para esse estabelecimento o mais importante é ter razão do que perder o cliente. Nunca mais piso ali. Indignada. Decepção com o despreparo total e constrangimento desnecessário no atendimento ao cliente. Me senti extremamente mal. Espero que não venham com resposta como desculpe pelo ocorrido, pois já aconteceu e não tem mais como voltar, caso gravíssimo de maus tratos."
79765,"Não ando mais em locais onde não é pet friedly."
79772,"Nenhum lugar que faz segregação irracional e injustificado de pessoas é digno de ser frequentado. Não há espaço na sociedade para abusos, por que disso o mundo já está cheio. Péssimo!"
79793,"Muito caro engana nas promoções"
